country,cou_relationship_com ,company,com_relationship_tra,tracker,t_relationship_cat,category
USA,besitzt,oracle,unterteilt sich in,grapeshot,trackt mittels,advertising
USA,besitzt,microsoft,unterteilt sich in,msn,trackt mittels,misc
USA,besitzt,medium,unterteilt sich in,embed.ly,trackt mittels,site_analytics
USA,besitzt,zemanta,unterteilt sich in,zemanta,trackt mittels,customer_interaction
USA,besitzt,github,unterteilt sich in,github_pages,trackt mittels,hosting
USA,besitzt,microsoft,unterteilt sich in,office365.com,trackt mittels,misc
GER,besitzt,yieldlove,unterteilt sich in,yieldlove,trackt mittels,advertising
USA,besitzt,google,unterteilt sich in,google_appspot,trackt mittels,hosting
FRA,besitzt,mediarithmics,unterteilt sich in,mediarithmics.com,trackt mittels,advertising
USA,besitzt,doubleverify,unterteilt sich in,doubleverify,trackt mittels,advertising
USA,besitzt,adroll,unterteilt sich in,adroll,trackt mittels,advertising
USA,besitzt,amazon_associates,unterteilt sich in,media-imdb.com,trackt mittels,cdn
USA,besitzt,zendesk,unterteilt sich in,zopim,trackt mittels,customer_interaction
FRA,besitzt,mediametrie,unterteilt sich in,estat,trackt mittels,site_analytics
USA,besitzt,marketo,unterteilt sich in,marketo,trackt mittels,advertising
USA,besitzt,evergage,unterteilt sich in,evergage.com,trackt mittels,customer_interaction
ISR,besitzt,yotpo,unterteilt sich in,yotpo,trackt mittels,comments
USA,besitzt,heap,unterteilt sich in,heap,trackt mittels,site_analytics
USA,besitzt,monetate,unterteilt sich in,monetate,trackt mittels,site_analytics
FRA,besitzt,iadvize,unterteilt sich in,iadvize,trackt mittels,customer_interaction
USA,besitzt,comscore,unterteilt sich in,comscore,trackt mittels,site_analytics
GER,besitzt,meetrics,unterteilt sich in,meetrics,trackt mittels,advertising
SWE,besitzt,spotify,unterteilt sich in,spotify,trackt mittels,audio_video_player
ISR,besitzt,clicktale,unterteilt sich in,clicktale,trackt mittels,site_analytics
USA,besitzt,gumgum,unterteilt sich in,gumgum,trackt mittels,advertising
USA,besitzt,lytics,unterteilt sich in,lytics,trackt mittels,site_analytics
USA,besitzt,verizon,unterteilt sich in,adtech,trackt mittels,site_analytics
CAN,besitzt,shopify,unterteilt sich in,shopifycloud.com,trackt mittels,customer_interaction
ISR,besitzt,kenshoo,unterteilt sich in,kenshoo,trackt mittels,site_analytics
AUS,besitzt,atlassian,unterteilt sich in,atlassian.net,trackt mittels,customer_interaction
USA,besitzt,centro,unterteilt sich in,sitescout,trackt mittels,advertising
USA,besitzt,quantcast,unterteilt sich in,quantcount,trackt mittels,site_analytics
FRA,besitzt,digiteka,unterteilt sich in,digiteka,trackt mittels,advertising
USA,besitzt,demandbase,unterteilt sich in,demandbase,trackt mittels,advertising
USA,besitzt,verizon,unterteilt sich in,aol_cdn,trackt mittels,site_analytics
